d w z t
70 9 1 1
70 9 1 0
70 3 1 1
70 9 1 1
21 22 0 1
21 30 0 1
21 11 2 2
21 21 2 2
21 39 0 1
21 22 0 0
21 21 2 2
21 31 2 2
21 26 0 1
21 20 0 0
21 17 1 3
21 26 0 1
21 39 0 1
21 21 2 2
21 22 0 1
21 22 0 1
21 24 1 3
21 30 0 1
21 22 0 1
21 22 0 0
21 21 2 2
21 24 1 4
21 31 0 1
21 22 0 1
21 26 0 1
21 30 0 1
21 39 0 0
21 34 2 2
21 39 1 3
43 17 1 0
43 2 1 0
43 49 1 0
2 24 6 0
2 21 6 0
2 8 6 0
2 31 6 0
2 8 6 0
2 24 6 0
2 24 6 0
2 21 1 1
2 21 6 0
2 8 6 0
2 24 6 0
2 21 6 0
2 41 6 0
2 8 6 0
2 41 6 0
2 8 6 0
2 21 6 0
2 25 6 0
2 8 6 0
2 20 6 0
2 40 6 0
7 16 1 0
12 25 1 2
12 48 0 0
12 42 8 1
12 39 0 0
12 7 0 0
12 7 0 0
12 22 0 0
12 14 0 0
12 31 0 0
12 20 0 0
12 20 0 0
12 20 0 0
12 16 1 2
12 17 1 2
12 20 0 0
12 31 0 0
12 31 0 0
12 20 0 0
12 7 0 0
51 6 0 0
51 12 1 1
51 20 0 0
51 6 1 1
11 30 0 0
11 40 0 0
11 25 0 0
11 20 0 0
11 33 0 2
11 20 0 0
11 29 2 1
11 32 0 2
11 32 2 1
11 20 0 0
11 20 0 0
11 29 2 1
11 31 0 0
11 32 0 0
11 26 0 0
11 20 0 0
11 20 0 0
11 20 0 0
11 34 2 1
11 40 0 0
11 29 0 0
11 24 0 0
11 33 0 0
11 30 0 0
60 47 0 1
60 43 1 0
60 9 1 0
60 45 0 1
92 20 0 0
92 20 0 0
92 44 1 1
92 43 1 1
92 24 1 1
92 31 2 2
92 31 0 0
92 31 1 3
92 21 1 1
92 9 1 4
92 12 1 1
92 24 1 1
92 24 2 2
89 5 4 0
89 47 4 0
89 49 4 0
89 42 4 0
89 41 4 0
20 39 0 0
20 39 0 0
20 3 0 0
20 21 1 1
20 24 0 3
20 32 0 0
20 39 0 0
20 21 2 2
20 39 0 0
20 30 0 0
20 32 0 0
20 21 2 2
20 31 0 0
20 39 0 0
20 41 1 1
59 19 6 0
59 19 6 0
59 46 1 1
59 19 6 0
59 16 1 1
59 19 6 0
59 19 6 0
59 19 6 0
59 6 6 0
59 24 6 0
1 31 0 0
1 13 0 1
1 39 0 2
1 45 0 2
1 39 0 2
1 31 0 2
1 20 0 0
1 8 0 2
1 45 0 2
1 39 0 1
1 8 0 2
1 8 0 2
1 13 0 1
1 7 0 2
1 31 0 0
18 31 0 0
18 20 0 0
18 31 0 0
18 25 0 0
18 31 0 0
18 32 0 0
18 22 0 0
18 20 0 0
18 33 0 0
18 24 0 0
18 31 0 0
18 20 0 0
18 11 0 0
18 31 0 0
18 39 0 0
18 30 0 0
18 34 1 1
18 17 1 1
56 42 1 0
16 37 1 0
16 0 1 1
16 20 0 2
16 17 1 0
