d w z t
19 28 0 0
19 9 0 0
19 33 0 0
19 32 0 0
19 59 0 0
19 9 0 0
19 9 0 0
19 80 0 0
10 60 0 0
10 74 0 0
10 65 0 0
10 72 0 0
10 14 0 0
10 65 0 0
10 59 0 0
10 9 0 0
10 65 4 2
10 28 0 0
10 28 0 0
10 36 0 0
10 65 0 0
10 74 0 0
10 28 0 0
10 28 0 0
10 65 0 0
10 16 0 0
10 16 0 0
10 60 0 0
10 65 4 1
10 80 0 0
10 77 0 0
49 8 8 0
49 76 8 0
49 40 8 0
49 76 8 0
49 43 8 0
49 76 8 0
49 89 8 0
49 82 8 0
49 89 8 0
49 76 8 0
49 76 8 0
49 82 8 0
49 65 8 0
49 43 8 0
49 89 8 0
49 76 8 0
49 89 8 0
49 89 8 0
49 8 8 0
49 76 8 0
75 65 6 2
75 49 0 0
75 60 0 0
75 60 0 0
75 80 0 1
75 20 0 0
75 80 0 0
75 11 0 0
75 3 0 0
75 9 0 1
75 80 0 0
75 16 0 0
75 36 0 0
75 56 0 0
75 47 0 0
39 12 0 0
39 61 0 0
39 42 0 0
39 59 0 0
39 59 0 0
39 65 0 0
39 16 0 0
39 79 0 0
39 28 0 0
39 9 0 0
39 60 0 0
39 60 0 0
39 47 0 0
39 60 0 0
39 59 0 0
39 59 0 0
39 39 0 0
39 59 0 0
39 19 0 0
39 30 0 1
39 16 0 0
39 28 0 0
39 33 0 0
39 59 0 0
39 14 0 0
39 59 0 0
39 82 0 0
39 82 0 0
39 55 0 0
39 9 0 0
39 35 0 0
57 7 2 0
57 65 2 0
57 7 2 0
57 44 2 0
57 7 2 0
57 18 2 0
57 7 2 0
57 82 2 0
93 82 4 2
93 10 4 2
93 65 4 2
93 2 4 1
93 65 3 4
93 82 4 2
93 59 7 0
93 46 4 2
93 10 7 0
93 86 7 0
93 75 4 2
93 8 3 4
93 59 3 4
93 84 4 2
93 80 7 0
93 65 4 2
93 48 7 0
93 10 4 1
93 83 4 2
93 77 7 0
93 6 7 0
93 80 0 3
93 10 7 0
93 80 7 0
93 88 4 2
93 46 4 2
93 81 7 0
93 59 4 1
25 15 1 1
25 59 6 2
25 59 0 0
25 53 6 2
25 82 0 0
25 20 6 2
25 28 0 0
25 62 1 1
25 40 0 3
25 20 0 0
25 39 6 2
25 65 6 2
25 14 0 3
1 33 7 0
1 27 1 1
1 60 1 1
1 65 1 1
1 26 1 1
1 81 0 2
1 23 7 0
1 79 0 3
1 33 1 1
1 60 1 1
1 80 7 0
1 39 7 0
1 60 1 1
1 65 7 0
1 80 1 1
1 54 1 1
1 23 7 0
1 13 7 0
1 78 1 1
1 80 7 0
83 70 3 1
83 58 4 0
83 70 3 1
83 65 3 1
83 70 3 1
83 88 4 2
83 88 4 0
83 21 3 1
83 51 4 0
83 89 4 0
83 75 3 1
7 87 5 1
7 15 0 0
7 58 5 1
7 31 5 1
7 47 5 1
7 14 4 2
7 65 1 3
7 31 5 1
12 77 0 0
12 14 0 0
12 14 0 0
12 32 0 0
12 55 0 0
12 65 0 0
12 15 0 0
12 80 0 0
12 72 0 0
12 65 6 1
12 14 0 0
12 17 6 1
12 77 0 0
12 49 0 0
12 65 0 0
12 60 0 0
12 65 0 0
12 80 0 0
12 80 0 0
12 40 0 0
12 79 0 0
12 79 0 0
12 18 7 2
12 65 6 1
12 14 0 0
12 14 0 0
12 14 0 0
12 81 6 1
12 14 0 0
12 14 0 0
12 79 0 0
12 71 6 1
12 26 0 0
12 65 7 2
12 77 0 0
12 81 0 0
12 57 0 0
12 82 6 1
65 85 4 0
65 69 4 0
65 10 4 0
65 86 4 0
65 66 4 0
65 85 4 0
65 83 4 0
65 51 4 0
65 85 4 0
65 68 4 0
65 51 4 0
65 30 4 0
65 65 4 0
33 29 6 0
33 29 6 0
33 82 6 0
33 39 7 1
33 68 7 1
33 71 6 0
33 64 6 0
33 52 7 1
33 43 6 0
33 65 6 0
33 21 6 0
34 29 6 0
34 29 6 0
34 65 6 0
34 64 5 1
34 35 4 2
34 40 4 2
34 38 4 3
89 34 4 0
89 30 4 0
89 72 4 0
89 30 4 0
89 84 4 0
89 1 4 0
89 35 4 0
89 54 4 0
89 30 4 0
89 35 4 0
89 65 4 0
4 33 1 0
4 33 4 2
4 28 0 1
4 16 0 3
4 74 0 3
4 26 0 3
4 60 1 0
4 59 0 3
4 36 0 3
4 13 0 3
4 29 1 0
4 32 1 0
4 59 0 3
4 84 4 2
4 55 0 3
4 84 0 3
4 7 1 0
4 44 4 2
4 59 0 3
4 9 0 3
4 33 0 3
4 35 4 2
4 61 0 3
4 51 4 2
4 65 0 3
4 55 0 3
4 78 0 3
4 44 0 3
4 27 1 0
92 62 3 0
92 19 3 0
92 62 3 0
92 62 3 0
92 8 3 0
92 86 3 0
92 70 3 0
92 40 3 0
92 70 3 0
92 2 3 0
92 62 3 0
92 8 3 1
92 11 3 0
92 38 3 0
92 59 3 0
92 65 3 0
92 68 7 2
92 8 3 0
91 31 2 0
91 56 2 0
91 82 2 0
91 73 2 0
91 18 2 0
91 61 2 0
91 41 2 0
91 65 2 0
91 29 2 0
91 39 2 0
91 65 2 0
91 57 2 0
91 31 2 0
91 41 2 0
91 41 2 0
91 82 2 0
91 56 2 0
91 41 2 0
91 63 2 0
91 65 2 0
91 82 4 1
91 73 2 0
91 63 2 0
91 22 2 0
91 18 2 0
91 64 2 0
91 63 2 0
91 82 2 0
91 22 2 0
91 41 2 0
91 54 2 0
91 6 2 0
91 22 2 0
91 64 2 0
91 73 2 0
91 39 2 0
91 73 2 0
91 88 2 0
91 65 2 0
91 65 2 0
91 63 2 0
91 26 2 0
91 63 2 0
91 22 2 0
91 65 2 0
91 65 2 0
91 47 2 0
91 65 2 0
91 63 2 0
91 7 2 0
104 58 4 0
104 2 4 0
104 65 4 0
104 51 4 0
104 7 4 1
104 44 4 0
64 75 4 0
64 50 6 1
64 54 6 1
64 85 4 0
64 65 6 1
64 11 4 0
64 30 4 0
64 65 6 2
64 21 6 1
64 1 4 0
64 51 4 0
64 50 6 2
64 84 4 0
64 51 4 0
64 84 4 0
64 82 4 0
64 82 6 1
35 28 0 0
35 79 0 0
35 65 0 0
35 79 0 0
35 79 0 0
35 80 0 0
35 79 0 0
35 79 0 0
35 26 0 0
35 87 3 1
35 49 0 0
35 79 0 0
35 26 0 0
35 80 0 0
35 80 0 0
35 80 0 0
35 82 0 0
35 9 0 0
35 80 0 0
35 15 0 0
35 80 0 0
54 47 5 0
54 89 4 1
54 78 5 0
54 65 5 0
54 85 4 1
54 82 4 1
54 89 5 0
54 82 4 1
76 7 4 0
76 61 4 0
76 2 4 0
76 43 4 0
76 2 4 0
76 64 4 0
76 70 4 0
76 2 4 0
76 86 4 0
76 65 4 0
74 55 4 0
74 80 1 1
74 71 1 1
74 46 4 0
74 88 4 0
74 48 1 1
74 51 4 0
74 65 4 0
74 47 1 1
15 58 8 0
15 6 8 0
15 47 8 0
15 65 4 1
15 40 8 0
15 89 8 0
15 85 4 2
95 50 6 0
95 20 6 0
95 46 6 0
95 65 6 0
95 44 6 0
95 71 6 0
95 17 6 0
95 1 4 1
95 34 6 0
95 12 6 0
95 11 6 0
95 58 4 1
95 50 6 0
95 71 6 0
73 52 6 1
73 58 4 0
73 51 4 0
73 41 6 1
73 83 6 1
73 54 4 0
73 65 6 1
3 48 7 0
3 65 7 0
3 13 7 0
3 23 7 0
3 80 7 0
3 43 7 0
3 80 7 0
3 21 7 0
3 49 7 0
3 86 7 0
3 65 7 0
32 14 4 1
32 87 5 0
32 39 7 2
32 82 4 1
32 65 4 1
106 86 4 0
106 73 2 1
106 20 6 2
106 51 2 1
106 51 4 0
106 73 2 1
106 6 2 1
106 6 2 1
106 37 2 1
106 88 4 0
106 82 4 0
106 88 4 0
106 65 2 1
31 8 3 0
31 25 7 1
31 38 4 3
31 81 7 1
31 39 7 1
31 80 3 0
31 25 7 1
31 7 7 1
31 58 4 3
31 69 1 2
31 29 1 2
31 65 3 0
31 68 7 1
31 68 7 1
94 65 0 0
94 86 0 0
94 7 0 0
94 14 0 0
94 39 0 0
94 59 0 0
94 35 0 0
94 80 0 0
94 12 0 0
94 57 0 0
