time iter num.topics num.tables likelihood gamma alpha split merge trial
    1.00 00175 0013 00228 -4026.48878 1.00000 1.00000 0 0 0
    1.00 00176 0011 00219 -3988.28211 1.00000 1.00000 0 0 0
    1.00 00177 0012 00232 -4075.02151 1.00000 1.00000 0 0 0
    1.00 00178 0013 00224 -4015.05585 1.00000 1.00000 0 0 0
    1.00 00179 0012 00240 -4082.78521 1.00000 1.00000 0 0 0
    1.00 00180 0014 00230 -4014.76008 1.00000 1.00000 0 0 0
    1.00 00181 0013 00231 -4039.57487 1.00000 1.00000 0 0 0
    1.00 00182 0013 00221 -3979.48061 1.00000 1.00000 0 0 0
    1.00 00183 0013 00230 -3991.67735 1.00000 1.00000 0 0 0
    1.00 00184 0013 00234 -4014.01736 1.00000 1.00000 0 0 0
    1.00 00185 0011 00223 -3940.22000 1.00000 1.00000 0 0 0
    1.00 00186 0012 00225 -3929.79130 1.00000 1.00000 0 0 0
    1.00 00187 0012 00243 -4054.49844 1.00000 1.00000 0 0 0
    1.00 00188 0014 00242 -3998.08588 1.00000 1.00000 0 0 0
    1.00 00189 0012 00249 -4027.34365 1.00000 1.00000 0 0 0
    1.00 00190 0012 00233 -3939.59771 1.00000 1.00000 0 0 0
    1.00 00191 0011 00227 -3959.75309 1.00000 1.00000 0 0 0
    1.00 00192 0011 00220 -3957.11235 1.00000 1.00000 0 0 0
    1.00 00193 0012 00242 -4029.87830 1.00000 1.00000 0 0 0
    1.00 00194 0010 00241 -3950.33920 1.00000 1.00000 0 0 0
    1.00 00195 0011 00222 -3901.52203 1.00000 1.00000 0 0 0
    1.00 00196 0012 00239 -3992.11162 1.00000 1.00000 0 0 0
    1.00 00197 0012 00232 -3974.68575 1.00000 1.00000 0 0 0
    1.00 00198 0013 00247 -4046.11712 1.00000 1.00000 0 0 0
    1.00 00199 0011 00225 -3940.66905 1.00000 1.00000 0 0 0
    1.00 00200 0012 00235 -3998.36641 1.00000 1.00000 0 0 0
    1.00 00201 0012 00230 -3999.77872 1.00000 1.00000 0 0 0
    1.00 00202 0011 00230 -4026.90162 1.00000 1.00000 0 0 0
    1.00 00203 0011 00225 -3969.12974 1.00000 1.00000 0 0 0
    1.00 00204 0011 00232 -4046.11515 1.00000 1.00000 0 0 0
    1.00 00205 0012 00245 -4087.80025 1.00000 1.00000 0 0 0
    1.00 00206 0012 00231 -4068.07390 1.00000 1.00000 0 0 0
    1.00 00207 0011 00226 -4035.20380 1.00000 1.00000 0 0 0
    1.00 00208 0011 00239 -4104.38483 1.00000 1.00000 0 0 0
    1.00 00209 0012 00234 -4062.65151 1.00000 1.00000 0 0 0
    1.00 00210 0013 00230 -4028.90513 1.00000 1.00000 0 0 0
    1.00 00211 0013 00225 -3957.25139 1.00000 1.00000 0 0 0
    1.00 00212 0011 00213 -3927.66315 1.00000 1.00000 0 0 0
    1.00 00213 0012 00213 -3945.08313 1.00000 1.00000 0 0 0
    1.00 00214 0013 00215 -3981.39030 1.00000 1.00000 0 0 0
    1.00 00215 0014 00215 -3984.84074 1.00000 1.00000 0 0 0
    1.00 00216 0016 00222 -4013.33477 1.00000 1.00000 0 0 0
    1.00 00217 0015 00230 -4069.36092 1.00000 1.00000 0 0 0
    1.00 00218 0015 00233 -4048.20543 1.00000 1.00000 0 0 0
    1.00 00219 0016 00224 -3986.19639 1.00000 1.00000 0 0 0
    1.00 00220 0014 00238 -4000.25200 1.00000 1.00000 0 0 0
    1.00 00221 0013 00240 -4028.97563 1.00000 1.00000 0 0 0
    1.00 00222 0013 00226 -4005.74419 1.00000 1.00000 0 0 0
    1.00 00223 0014 00247 -4091.39395 1.00000 1.00000 0 0 0
    1.00 00224 0013 00245 -4074.70799 1.00000 1.00000 0 0 0
    1.00 00225 0013 00229 -4020.88494 1.00000 1.00000 0 0 0
    1.00 00226 0014 00233 -4022.14315 1.00000 1.00000 0 0 0
    1.00 00227 0012 00242 -4017.05131 1.00000 1.00000 0 0 0
    1.00 00228 0013 00233 -4029.33684 1.00000 1.00000 0 0 0
    1.00 00229 0013 00217 -3927.18360 1.00000 1.00000 0 0 0
    1.00 00230 0012 00228 -3899.41471 1.00000 1.00000 0 0 0
    1.00 00231 0012 00230 -3977.64734 1.00000 1.00000 0 0 0
    1.00 00232 0012 00232 -4033.99169 1.00000 1.00000 0 0 0
    1.00 00233 0011 00244 -4076.50197 1.00000 1.00000 0 0 0
    1.00 00234 0012 00235 -4045.97897 1.00000 1.00000 0 0 0
    1.00 00235 0014 00244 -4118.79154 1.00000 1.00000 0 0 0
    1.00 00236 0015 00229 -4086.53628 1.00000 1.00000 0 0 0
    1.00 00237 0015 00241 -4062.58003 1.00000 1.00000 0 0 0
    1.00 00238 0014 00240 -4120.68354 1.00000 1.00000 0 0 0
    1.00 00239 0013 00240 -4109.97137 1.00000 1.00000 0 0 0
    1.00 00240 0013 00231 -4056.30168 1.00000 1.00000 0 0 0
    1.00 00241 0013 00237 -4077.46880 1.00000 1.00000 0 0 0
    1.00 00242 0014 00225 -4069.50741 1.00000 1.00000 0 0 0
    1.00 00243 0014 00216 -3955.14838 1.00000 1.00000 0 0 0
    1.00 00244 0017 00212 -3980.15892 1.00000 1.00000 0 0 0
    1.00 00245 0018 00224 -4041.68777 1.00000 1.00000 0 0 0
    1.00 00246 0016 00242 -4119.79755 1.00000 1.00000 0 0 0
    1.00 00247 0016 00230 -4094.92153 1.00000 1.00000 0 0 0
    1.00 00248 0018 00224 -4055.06951 1.00000 1.00000 0 0 0
