d w z t
100 10 6 0
100 31 6 0
100 2 6 0
100 2 6 0
3 41 7 0
3 31 7 0
3 31 6 1
3 8 7 0
3 13 7 0
3 21 7 0
3 25 7 0
3 8 7 0
3 8 7 0
3 20 7 0
3 8 7 0
87 44 4 0
87 16 4 0
87 20 2 1
87 4 4 0
87 24 4 2
87 45 5 3
87 28 4 0
65 27 5 0
65 15 4 1
65 28 4 1
65 36 4 1
65 5 5 0
65 5 5 0
65 36 5 0
65 36 5 0
65 12 5 0
42 0 1 0
42 3 4 1
42 45 1 0
42 0 1 0
13 20 2 0
13 47 2 0
13 20 2 0
13 47 2 0
13 26 2 0
13 20 2 0
13 16 2 0
13 31 2 0
13 47 2 0
13 25 2 0
13 20 2 0
13 31 2 0
13 47 2 0
13 20 2 0
13 47 2 0
13 47 2 0
13 39 2 0
13 24 2 0
6 31 6 0
6 2 6 0
6 30 3 2
6 26 6 0
6 31 6 0
6 6 6 0
6 13 6 0
6 24 6 0
6 24 3 2
6 13 3 1
6 31 6 0
6 6 6 0
74 10 2 0
74 31 2 0
74 31 2 0
74 39 2 0
74 25 2 0
74 31 2 0
74 10 2 0
74 39 2 0
74 30 2 0
74 26 2 0
74 11 2 0
71 46 5 1
71 47 5 1
71 24 6 0
71 43 5 1
71 2 5 1
14 20 2 0
14 12 2 0
14 20 2 2
14 39 2 0
14 20 2 1
14 20 2 0
14 39 2 0
14 39 2 0
14 16 8 3
14 16 4 4
14 39 2 0
14 47 8 3
14 33 2 0
14 31 2 0
14 41 4 4
14 20 2 0
14 40 2 0
91 17 4 0
91 24 4 0
75 41 4 1
75 40 2 0
75 5 5 2
88 43 5 0
88 47 5 1
99 9 5 0
99 13 5 1
99 13 5 1
99 13 5 0
99 5 5 1
99 27 5 1
99 13 5 0
99 9 5 1
99 49 5 1
4 26 0 0
4 24 0 0
4 24 0 0
4 43 5 1
4 49 5 2
4 39 0 0
4 32 0 0
4 43 5 2
4 49 5 4
4 30 3 3
4 8 0 0
4 45 3 3
4 11 0 0
4 45 3 3
4 22 3 3
4 24 0 0
4 45 3 3
8 15 4 0
8 20 2 1
8 41 4 0
8 33 4 0
8 41 4 0
69 28 4 1
69 12 5 0
69 15 5 0
69 5 5 0
69 36 5 0
69 27 5 0
69 5 5 0
69 36 5 0
69 36 5 0
95 43 5 1
95 9 5 0
95 18 5 1
95 18 5 0
95 9 5 1
40 39 3 0
40 7 3 0
40 32 3 0
40 31 2 1
40 39 3 0
40 21 3 0
40 34 3 0
40 22 3 0
40 20 2 1
40 47 2 1
40 20 2 1
40 31 2 1
40 39 2 1
40 22 3 0
40 22 3 0
40 22 3 0
40 21 3 0
40 39 3 0
40 7 2 1
40 20 2 1
40 39 3 0
40 22 3 0
40 39 3 0
40 24 3 0
40 6 2 1
40 22 3 0
57 49 5 0
83 36 5 0
83 45 3 1
83 45 5 0
83 47 5 0
83 45 3 1
83 4 5 0
83 45 3 2
48 37 5 0
48 46 5 1
70 9 5 0
70 3 4 1
70 9 5 0
70 9 5 2
27 36 5 0
27 17 5 0
27 44 5 0
27 36 5 0
27 9 5 0
27 43 5 0
27 44 5 0
27 26 5 0
90 23 1 0
90 20 1 0
90 23 1 0
90 0 1 0
90 23 1 0
90 20 1 0
90 20 1 0
90 0 1 0
90 0 1 0
90 20 1 0
90 12 1 0
90 20 1 0
90 20 1 0
90 0 1 0
90 20 1 0
17 32 6 1
17 31 6 1
17 16 6 1
17 32 6 1
17 34 6 1
17 11 6 2
17 32 0 0
17 30 0 0
17 25 6 1
17 32 6 2
17 31 6 1
